train_loss,epoch,step,val_loss,val_mse,train_mse,test_mse
0.200962632894516,0,49,,,,
,0,61,0.18547897040843964,0.18547897040843964,,
,0,61,,,0.28128984570503235,
0.190921813249588,1,99,,,,
,1,123,0.1901543140411377,0.1901543140411377,,
,1,123,,,0.2398400902748108,
0.22120897471904755,2,149,,,,
,2,185,0.23916947841644287,0.23916947841644287,,
,2,185,,,0.21402008831501007,
0.14294485747814178,3,199,,,,
,3,247,0.19851334393024445,0.19851334393024445,,
,3,247,,,0.21179918944835663,
0.1981472373008728,4,249,,,,
0.11366733908653259,4,299,,,,
,4,309,0.17634634673595428,0.17634634673595428,,
,4,309,,,0.20165544748306274,
0.16056157648563385,5,349,,,,
,5,371,0.17869463562965393,0.17869463562965393,,
,5,371,,,0.19409281015396118,
0.10083199292421341,6,399,,,,
,6,433,0.16794776916503906,0.16794776916503906,,
,6,433,,,0.18557782471179962,
0.08516281098127365,7,449,,,,
,7,495,0.1652481108903885,0.1652481108903885,,
,7,495,,,0.18650700151920319,
0.5765497088432312,8,499,,,,
0.1455565094947815,8,549,,,,
,8,557,0.1567034125328064,0.1567034125328064,,
,8,557,,,0.18351544439792633,
0.20708540081977844,9,599,,,,
,9,619,0.15767107903957367,0.15767107903957367,,
,9,619,,,0.1775999814271927,
,10,620,0.16524825990200043,0.16524825990200043,,
,10,620,0.15767107903957367,0.15767107903957367,,
,10,620,,,,0.18151789903640747
